Species,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial ,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW
Osteoglossum_bicirrhosum,1,90,1193,18.99,1.68,3.84,13.23,1.42,12.74,0.0159,96.2725,0.0032,0.0111,81.2620,0.0107,1111.76,89.3414,1108.62,76.4883,1098.14,91.4071,1095.92,78.86,1104.3,83.6266,1104.17,81.7705,1104.49,85.5926,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,157.453,323,273.959,320,0.024359475,0.084032006,0.080925626
Chanos_chanos,1,30,1414,28.15,1.34,0.91,17.79,1.66,19.55,0.0199,76.6094,0.0006,0.0126,95.0994,0.0138,516.642,-235.762,515.074,-253.483,496.176,-234.429,495.157,-253.954,504.605,-244.458,504.63,-244.935,504.555,-244.031,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.00632037,0.123955624,0.136227956
Chanos_chanos,1,40,1414,27.91,1.48,2.90,18.75,1.49,18.77,0.0197,84.6414,0.0020,0.0133,85.0912,0.0133,657.734,-236.912,659.232,-255.601,637.23,-238.801,638.887,-257.494,648.258,-247.449,648.006,-248.74,648.064,-245.845,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.020175312,0.130635512,0.130756453
Chanos_chanos,1,50,1414,31.96,1.54,2.99,24.04,1.67,21.86,0.0226,87.9935,0.0021,0.0170,95.6518,0.0155,810.319,-233.068,813.091,-256.945,788.361,-236.479,790.599,-258.224,799.334,-246.381,799.442,-245.29,799.568,-248.281,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.020858639,0.167483289,0.15231126
Chanos_chanos,1,60,1414,36.22,1.35,3.55,23.55,1.41,21.83,0.0256,77.1940,0.0025,0.0167,80.5113,0.0154,941.445,-228.45,942.629,-251.966,914.122,-231.157,914.799,-252.981,927.333,-241.347,927.479,-243.096,927.333,-239.549,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.024735081,0.164058135,0.152134517
Chanos_chanos,1,70,1414,39.12,1.36,4.43,24.35,1.32,24.16,0.0277,77.7053,0.0031,0.0172,75.6501,0.0171,1091.75,-224.22,1092.03,-248.567,1060.68,-225.271,1061.81,-249.403,1076.8,-237.183,1076.69,-239.26,1076.8,-234.829,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.030883043,0.169651898,0.16832688
Chanos_chanos,1,80,1414,39.52,1.25,4.12,24.30,1.34,23.53,0.0279,71.8266,0.0029,0.0172,76.9737,0.0166,1221.09,-220.932,1222.01,-245.212,1189.63,-222.306,1190.4,-245.823,1204.81,-234.123,1204.81,-236.002,1204.9,-231.878,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.028741313,0.169295251,0.163945363
Chanos_chanos,1,90,1414,33.28,1.42,4.08,21.23,1.35,21.41,0.0235,81.1565,0.0029,0.0150,77.4269,0.0151,1373.94,-218.932,1374.02,-240.164,1348.46,-218.45,1348.06,-239.852,1361.59,-229.898,1361.68,-231.9,1361.73,-227.82,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,marine,143.521,603,369.471,713,0.02843003,0.147937589,0.149147077
Cyprinus_carpio,1,40,1224,42.84,0.92,1.44,20.02,1.06,20.46,0.0350,52.9939,0.0012,0.0164,60.6545,0.0167,973.986,137.632,975.079,117.645,1011.45,139.598,1012.65,119.174,994.576,128.788,994.622,128.061,994.592,129.505,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.007854429,0.108855335,0.111260963
Cyprinus_carpio,1,50,1224,46.45,0.81,1.62,19.38,0.87,18.52,0.0379,46.3241,0.0013,0.0158,49.9382,0.0151,886.833,131.009,888.412,111.694,929.229,134.167,930.687,115.702,910.236,122.469,910.266,121.689,910.206,123.31,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.008821329,0.105388879,0.100728567
Cyprinus_carpio,1,60,1224,47.16,0.70,1.07,18.73,0.75,14.62,0.0385,40.1065,0.0009,0.0153,43.2549,0.0119,758.641,127.335,758.017,108.611,802.704,123.59,802.08,108.986,783.976,117.097,784.034,116.542,783.996,117.614,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.005833392,0.101881039,0.079491666
Cyprinus_carpio,1,70,1224,45.05,0.93,1.55,20.35,0.97,20.65,0.0368,53.2431,0.0013,0.0166,55.5238,0.0169,635.782,127.947,635.629,107.602,675.401,127.947,675.822,107.301,655.998,117.451,655.998,116.717,655.971,118.263,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.008408711,0.110642931,0.112300035
Cyprinus_carpio,1,80,1224,41.91,1.00,1.38,20.32,0.98,19.53,0.0342,57.3523,0.0011,0.0166,56.0173,0.0160,483.668,133.701,482.353,113.427,520.381,131.29,519.394,111.783,501.555,122.547,501.555,121.817,501.583,123.193,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.007484487,0.110485366,0.106218309
Cyprinus_carpio,1,90,1224,39.28,1.10,1.76,19.66,1.00,19.52,0.0321,63.0857,0.0014,0.0161,57.0622,0.0159,376.687,142.139,374.539,122.596,410.297,138.488,408.472,119.052,391.503,130.379,391.464,129.594,391.604,131.345,Fusiform,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,183.885,1000,554.049,960,0.009552644,0.106918403,0.106161426
Roeboides_affinis,1,30,1223,32.56,1.38,2.01,21.70,1.67,23.49,0.0266,78.9223,0.0016,0.0177,95.9254,0.0192,1015.86,67.2739,1016.63,45.5857,1039.31,69.5859,1040.63,46.1362,1029.4,57.2496,1029.48,56.1905,1029.43,58.2009,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.018246021,0.196901244,0.213096187
Roeboides_affinis,1,40,1223,31.91,1.27,2.38,20.31,1.50,20.10,0.0261,72.5029,0.0019,0.0166,85.9440,0.0164,909.089,56.3623,911.522,36.1951,933.614,59.0986,935.945,39.134,924.05,47.995,924.152,46.8252,923.975,49.2013,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.021618112,0.184303965,0.182369501
Roeboides_affinis,1,50,1223,32.05,1.33,3.19,19.41,1.30,19.66,0.0262,76.0311,0.0026,0.0159,74.5070,0.0161,774.263,38.2339,776.978,19.012,799.241,41.9262,802.173,22.4871,787.909,30.4018,787.962,28.9347,787.873,32.1194,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.028906098,0.176131571,0.178366072
Roeboides_affinis,1,60,1223,33.40,1.30,2.73,20.63,1.38,20.97,0.0273,74.4100,0.0022,0.0169,78.8472,0.0171,666.147,22.4157,669.005,1.98413,691.978,26.6502,695.202,5.93339,680.964,14.5082,681.105,13.3219,680.864,16.0363,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.024724658,0.187180674,0.190226304
Roeboides_affinis,1,70,1223,33.92,1.29,3.13,20.03,1.35,21.73,0.0277,74.1745,0.0026,0.0164,77.5398,0.0178,550.766,1.28098,554.329,-18.4277,576.933,6.95976,580.83,-14.4192,565.577,-6.18219,565.682,-7.75687,565.472,-4.63375,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.028400086,0.181715671,0.197167716
Roeboides_affinis,1,80,1223,32.62,1.25,2.90,18.37,1.25,19.61,0.0267,71.4107,0.0024,0.0150,71.5150,0.0160,407.949,-28.2903,411.508,-46.3114,433.546,-22.5511,437.678,-41.72,422.28,-34.8997,422.491,-36.3009,422.07,-33.4284,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.02634065,0.166663702,0.177914345
Roeboides_affinis,1,90,1223,30.54,1.29,2.69,16.97,1.15,17.92,0.0250,74.0135,0.0022,0.0139,66.0189,0.0147,296.918,-50.06,300.811,-66.5824,321.892,-44.5525,324.93,-62.2144,309.945,-56.3425,310.113,-57.6426,309.903,-54.9586,Deep bodied,Pelagic,benthopelagic,benthopelagic,demersal,freshwater,110.217,992,459.57,782,0.024426384,0.154012891,0.162599931
Lepidogalaxias_salamandroides,1,20,2345,60.40,1.32,17.20,40.06,1.52,38.75,0.0258,75.9015,0.0073,0.0171,87.1582,0.0165,2266.68,8.46973,2264.65,-31.5398,2311.75,6.44394,2311.25,-32.2995,2291.19,-14.2902,2291.1,-22.4003,2291.24,-5.20441,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.083402655,0.194295422,0.187920937
Lepidogalaxias_salamandroides,1,30,2345,61.36,1.23,16.98,36.50,1.32,35.90,0.0262,70.4406,0.0072,0.0156,75.7191,0.0153,2053.32,7.73091,2054.08,-28.7616,2101.33,8.7584,2103.87,-27.051,2079.55,-10.5154,2080.01,-18.4717,2079.86,-1.49354,Elongate,Benthic,demersal,demersal,demersal,freshwater,206.186,1501,360.831,2011,0.082347117,0.17702668,0.174111576
